#,Title,Description,Input,Note+
42,Ask for Step,,"What are the steps to create a <technology/ framework> blog app with the following requirements?

1. A listing page of all articles
2. A detail page where you can read the article
3. An about me page
4. Links to social media profiles
5. Performant",
43,Compare program language or framework,, What are the differences between <list of similar concepts> in <language/ framework>,"<programming language> : Js , PHP , Python , C, C++, C#,...
<framework>: Bootstrap,Tailwind CSS,Materialize CSS,Bulma,Foundation
"
44,Explain program language or framework,,Explain <language/ framework> <concept> with a real-world analogy,"<programming language> : Js , PHP , Python , C, C++, C#,...
<framework>: Bootstrap,Tailwind CSS,Materialize CSS,Bulma,Foundation
"
45,Improve the performance of a website,,What are the different ways to improve the performance of a website?,
46,Create a function to perform an operation,,Create one unique code block in <language> to perform <operation> on <data structure> with the following inputs: <input variables> and expected output: <output description>,
47,Complete the following code,,"In <language>, complete the following code snippet that initializes a <data structure> with <values>: <code snippet>

‍",
48,Fill in the missing code,, Fill in the missing <language> code to implement error handling for the following function: <code snippet>,
49,Find any bugs in code,,Identify any potential bugs in the following unique code block in <language>: <code block/snippet>,
50,Review code,,"Review the following <language> code for best practices and create a corrected and improved version of the code: <code snippet>

‍",
51,Create UI Mockup for App,,Generate a proof-of-concept <language> code for a <project idea or feature> based on the following requirements: <requirements description>,
52,Improve performance of code,,Identify performance bottlenecks in the given <language> code and suggest optimizations: <code snippet>,
53,Documentation,,Produce a clear and concise overview of the architecture and design of the given <language> project or system: <project description>,
54,Generate class,,Generate a <language> class for a <domain> application that includes methods for <methods list> and properties <properties list>,
55,Syntax,,What is the correct syntax for a <statement or function> in <programming language>?,
56,Fix the Bug,,How do I fix the following <programming language> code which <explain the functioning>? <code snippet>,
57,Best Practice,,Show me best practices for writing <concept or function> in <programming language>.,
58,Optimise,,Optimize the following <programming language> code which <explain the functioning>: <code snippet>,
59,Generate Code,,Write a program/function to <explain functionality> in <programming language>,
60,Code Conversion,,Convert the following <programming language 1> code to <programming language 2>: <code snippet>,
